pid,title,origin,luogu,vjudge
CF1032F,"Vasya and Maximum Matching",CodeForces,https://www.luogu.com.cn/problem/CF1032F,https://vjudge.net/problem/CodeForces-1032F
CF1098D,"Eels",CodeForces,https://www.luogu.com.cn/problem/CF1098D,https://vjudge.net/problem/CodeForces-1098D
CF1101D,"GCD Counting",CodeForces,https://www.luogu.com.cn/problem/CF1101D,https://vjudge.net/problem/CodeForces-1101D
CF1119D,"Frets On Fire",CodeForces,https://www.luogu.com.cn/problem/CF1119D,https://vjudge.net/problem/CodeForces-1119D
CF1148D,"Dirty Deeds Done Dirt Cheap",CodeForces,https://www.luogu.com.cn/problem/CF1148D,https://vjudge.net/problem/CodeForces-1148D
CF1179B,"Tolik and His Uncle",CodeForces,https://www.luogu.com.cn/problem/CF1179B,https://vjudge.net/problem/CodeForces-1179B
CF1190B,"Tokitsukaze, CSL and Stone Game",CodeForces,https://www.luogu.com.cn/problem/CF1190B,https://vjudge.net/problem/CodeForces-1190B
CF1207D,"Number Of Permutations",CodeForces,https://www.luogu.com.cn/problem/CF1207D,https://vjudge.net/problem/CodeForces-1207D
CF1208C,"Magic Grid",CodeForces,https://www.luogu.com.cn/problem/CF1208C,https://vjudge.net/problem/CodeForces-1208C
CF126B,"Password",CodeForces,https://www.luogu.com.cn/problem/CF126B,https://vjudge.net/problem/CodeForces-126B
CF1280B,"Beingawesomeism",CodeForces,https://www.luogu.com.cn/problem/CF1280B,https://vjudge.net/problem/CodeForces-1280B
CF1286A,"Garland",CodeForces,https://www.luogu.com.cn/problem/CF1286A,https://vjudge.net/problem/CodeForces-1286A
CF1286B,"Numbers on Tree",CodeForces,https://www.luogu.com.cn/problem/CF1286B,https://vjudge.net/problem/CodeForces-1286B
CF1290B,"Irreducible Anagrams",CodeForces,https://www.luogu.com.cn/problem/CF1290B,https://vjudge.net/problem/CodeForces-1290B
CF1295D,"Same GCDs",CodeForces,https://www.luogu.com.cn/problem/CF1295D,https://vjudge.net/problem/CodeForces-1295D
CF1299B,"Aerodynamic",CodeForces,https://www.luogu.com.cn/problem/CF1299B,https://vjudge.net/problem/CodeForces-1299B
CF1304D,"Shortest and Longest LIS",CodeForces,https://www.luogu.com.cn/problem/CF1304D,https://vjudge.net/problem/CodeForces-1304D
CF1316C,"Primitive Primes",CodeForces,https://www.luogu.com.cn/problem/CF1316C,https://vjudge.net/problem/CodeForces-1316C
CF1324F,"Maximum White Subtree",CodeForces,https://www.luogu.com.cn/problem/CF1324F,https://vjudge.net/problem/CodeForces-1324F
CF1326D2,"Prefix-Suffix Palindrome (Hard version)",CodeForces,https://www.luogu.com.cn/problem/CF1326D2,https://vjudge.net/problem/CodeForces-1326D2
CF1327E,"Count The Blocks",CodeForces,https://www.luogu.com.cn/problem/CF1327E,https://vjudge.net/problem/CodeForces-1327E
CF1329A,"Dreamoon Likes Coloring",CodeForces,https://www.luogu.com.cn/problem/CF1329A,https://vjudge.net/problem/CodeForces-1329A
CF1334D,"Minimum Euler Cycle",CodeForces,https://www.luogu.com.cn/problem/CF1334D,https://vjudge.net/problem/CodeForces-1334D
CF1338B,"Edge Weight Assignment",CodeForces,https://www.luogu.com.cn/problem/CF1338B,https://vjudge.net/problem/CodeForces-1338B
CF1355C,"Count Triangles",CodeForces,https://www.luogu.com.cn/problem/CF1355C,https://vjudge.net/problem/CodeForces-1355C
CF1375C,"Element Extermination",CodeForces,https://www.luogu.com.cn/problem/CF1375C,https://vjudge.net/problem/CodeForces-1375C
CF1375D,"Replace by MEX",CodeForces,https://www.luogu.com.cn/problem/CF1375D,https://vjudge.net/problem/CodeForces-1375D
CF1375F,"Integer Game",CodeForces,https://www.luogu.com.cn/problem/CF1375F,https://vjudge.net/problem/CodeForces-1375F
CF1381B,"Unmerge",CodeForces,https://www.luogu.com.cn/problem/CF1381B,https://vjudge.net/problem/CodeForces-1381B
CF1383B,"GameGame",CodeForces,https://www.luogu.com.cn/problem/CF1383B,https://vjudge.net/problem/CodeForces-1383B
CF1394A,"Boboniu Chats with Du",CodeForces,https://www.luogu.com.cn/problem/CF1394A,https://vjudge.net/problem/CodeForces-1394A
CF1396B,"Stoned Game",CodeForces,https://www.luogu.com.cn/problem/CF1396B,https://vjudge.net/problem/CodeForces-1396B
CF1442A,"Extreme Subtraction",CodeForces,https://www.luogu.com.cn/problem/CF1442A,https://vjudge.net/problem/CodeForces-1442A
CF1442B,"Identify the Operations",CodeForces,https://www.luogu.com.cn/problem/CF1442B,https://vjudge.net/problem/CodeForces-1442B
CF1444B,"Divide and Sum",CodeForces,https://www.luogu.com.cn/problem/CF1444B,https://vjudge.net/problem/CodeForces-1444B
CF1446B,"Catching Cheaters",CodeForces,https://www.luogu.com.cn/problem/CF1446B,https://vjudge.net/problem/CodeForces-1446B
CF1450D,"Rating Compression",CodeForces,https://www.luogu.com.cn/problem/CF1450D,https://vjudge.net/problem/CodeForces-1450D
CF1451E1,"Bitwise Queries (Easy Version)",CodeForces,https://www.luogu.com.cn/problem/CF1451E1,https://vjudge.net/problem/CodeForces-1451E1
CF1466E,"Apollo versus Pan",CodeForces,https://www.luogu.com.cn/problem/CF1466E,https://vjudge.net/problem/CodeForces-1466E
CF1477A,"Nezzar and Board",CodeForces,https://www.luogu.com.cn/problem/CF1477A,https://vjudge.net/problem/CodeForces-1477A
CF1479B1,"Painting the Array I",CodeForces,https://www.luogu.com.cn/problem/CF1479B1,https://vjudge.net/problem/CodeForces-1479B1
CF1479B2,"Painting the Array II",CodeForces,https://www.luogu.com.cn/problem/CF1479B2,https://vjudge.net/problem/CodeForces-1479B2
CF148D,"Bag of mice",CodeForces,https://www.luogu.com.cn/problem/CF148D,https://vjudge.net/problem/CodeForces-148D
CF1491D,"Zookeeper and The Infinite Zoo",CodeForces,https://www.luogu.com.cn/problem/CF1491D,https://vjudge.net/problem/CodeForces-1491D
CF1495B,"Let's Go Hiking",CodeForces,https://www.luogu.com.cn/problem/CF1495B,https://vjudge.net/problem/CodeForces-1495B
CF1500A,"Going Home",CodeForces,https://www.luogu.com.cn/problem/CF1500A,https://vjudge.net/problem/CodeForces-1500A
CF1508A,"Binary Literature",CodeForces,https://www.luogu.com.cn/problem/CF1508A,https://vjudge.net/problem/CodeForces-1508A
CF1508B,"Almost Sorted",CodeForces,https://www.luogu.com.cn/problem/CF1508B,https://vjudge.net/problem/CodeForces-1508B
CF1517D,"Explorer Space",CodeForces,https://www.luogu.com.cn/problem/CF1517D,https://vjudge.net/problem/CodeForces-1517D
CF1534D,"Lost Tree",CodeForces,https://www.luogu.com.cn/problem/CF1534D,https://vjudge.net/problem/CodeForces-1534D
CF1545B,"AquaMoon and Chess",CodeForces,https://www.luogu.com.cn/problem/CF1545B,https://vjudge.net/problem/CodeForces-1545B
CF1548B,"Integers Have Friends",CodeForces,https://www.luogu.com.cn/problem/CF1548B,https://vjudge.net/problem/CodeForces-1548B
CF1552C,"Maximize the Intersections",CodeForces,https://www.luogu.com.cn/problem/CF1552C,https://vjudge.net/problem/CodeForces-1552C
CF1552D,"Array Differentiation",CodeForces,https://www.luogu.com.cn/problem/CF1552D,https://vjudge.net/problem/CodeForces-1552D
CF1556C,"Compressed Bracket Sequence",CodeForces,https://www.luogu.com.cn/problem/CF1556C,https://vjudge.net/problem/CodeForces-1556C
CF1556D,"Take a Guess",CodeForces,https://www.luogu.com.cn/problem/CF1556D,https://vjudge.net/problem/CodeForces-1556D
CF1558B,"Up the Strip",CodeForces,https://www.luogu.com.cn/problem/CF1558B,https://vjudge.net/problem/CodeForces-1558B
CF1572A,"Book",CodeForces,https://www.luogu.com.cn/problem/CF1572A,https://vjudge.net/problem/CodeForces-1572A
CF1601B,"Frog Traveler",CodeForces,https://www.luogu.com.cn/problem/CF1601B,https://vjudge.net/problem/CodeForces-1601B
CF1630B,"Range and Partition",CodeForces,https://www.luogu.com.cn/problem/CF1630B,https://vjudge.net/problem/CodeForces-1630B
CF1637D,"Yet Another Minimization Problem",CodeForces,https://www.luogu.com.cn/problem/CF1637D,https://vjudge.net/problem/CodeForces-1637D
CF1648B,"Integral Array",CodeForces,https://www.luogu.com.cn/problem/CF1648B,https://vjudge.net/problem/CodeForces-1648B
CF1648C,"Tyler and Strings",CodeForces,https://www.luogu.com.cn/problem/CF1648C,https://vjudge.net/problem/CodeForces-1648C
CF1656D,"K-good",CodeForces,https://www.luogu.com.cn/problem/CF1656D,https://vjudge.net/problem/CodeForces-1656D
CF1666C,"Connect the Points",CodeForces,https://www.luogu.com.cn/problem/CF1666C,https://vjudge.net/problem/CodeForces-1666C
CF1666L,"Labyrinth",CodeForces,https://www.luogu.com.cn/problem/CF1666L,https://vjudge.net/problem/CodeForces-1666L
CF1675D,"Vertical Paths",CodeForces,https://www.luogu.com.cn/problem/CF1675D,https://vjudge.net/problem/CodeForces-1675D
CF1696D,"Permutation Graph",CodeForces,https://www.luogu.com.cn/problem/CF1696D,https://vjudge.net/problem/CodeForces-1696D
CF1704D,"Magical Array",CodeForces,https://www.luogu.com.cn/problem/CF1704D,https://vjudge.net/problem/CodeForces-1704D
CF1704E,"Count Seconds",CodeForces,https://www.luogu.com.cn/problem/CF1704E,https://vjudge.net/problem/CodeForces-1704E
